16, 9/9, 2, 1/3, 2, 1, NONE, reachable, 213
16, 9/9, 2, 1/3, 2, 1, NONE, reachable, 217
15, 9/9, 1, 1/3, 2, 1, NONE, reachable, 279
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 211
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 209
21, 9/9, 1, 1/3, 2, 1, NONE, reachable, 310
15, 9/9, 1, 1/3, 2, 1, NONE, reachable, 213
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 207
15, 9/9, 1, 1/3, 2, 1, NONE, reachable, 380
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 202
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 203
19, 9/9, 1, 1/3, 2, 1, NONE, reachable, 397
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 214
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 208
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 355
12, 9/9, 2, 1/3, 2, 1, NONE, reachable, 199
17, 9/9, 1, 1/3, 2, 1, NONE, reachable, 207
20, 9/9, 1, 1/3, 2, 1, NONE, reachable, 339
15, 9/9, 2, 1/3, 2, 1, NONE, reachable, 207
18, 9/9, 1, 1/3, 2, 1, NONE, reachable, 208
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 321
23, 9/9, 2, 1/3, 2, 1, NONE, reachable, 217
17, 9/9, 1, 1/3, 2, 1, NONE, reachable, 199
29, 9/9, 2, 1/3, 2, 1, NONE, reachable, 323
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 213
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 201
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 327
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 210
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 206
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 277
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 212
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 207
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 321
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 213
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 208
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 317
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 209
12, 9/9, 1, 1/3, 2, 1, NONE, reachable, 209
15, 9/9, 1, 1/3, 2, 1, NONE, reachable, 318
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 205
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 207
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 338
14, 9/9, 1, 1/3, 2, 1, NONE, reachable, 206
19, 9/9, 2, 1/3, 2, 1, NONE, reachable, 211
13, 9/9, 2, 1/3, 2, 1, NONE, reachable, 324
13, 9/9, 1, 1/3, 2, 1, NONE, reachable, 208
14, 9/9, 2, 1/3, 2, 1, NONE, reachable, 333
55, 9/9, 2, 1/3, 2, 1, NONE, reachable, 447
23, 17/20, 2, 1/4, 2, 1, NONE, reachable, 245
28, 17/20, 53, 1/4, 2, 1, NONE, reachable, 408
93, 17/20, 10, 1/4, 2, 1, NONE, reachable, 419
29, 17/20, 1, 1/4, 2, 1, NONE, reachable, 223
23, 17/20, 6, 1/4, 2, 1, NONE, reachable, 229
18, 17/20, 11, 1/4, 2, 1, NONE, reachable, 259
23, 17/20, 2, 1/4, 2, 1, NONE, reachable, 347
22, 17/20, 2, 1/4, 2, 1, NONE, reachable, 223
21, 17/20, 11, 1/4, 2, 1, NONE, reachable, 221
23, 17/20, 64, 1/4, 2, 1, NONE, reachable, 393
20, 17/20, 11, 1/4, 2, 1, NONE, reachable, 222
31, 17/20, 12, 1/4, 2, 1, NONE, reachable, 224
19, 17/20, 62, 1/4, 2, 1, NONE, reachable, 392
33, 17/20, 1, 1/4, 2, 1, NONE, reachable, 232
21, 17/20, 14, 1/4, 2, 1, NONE, reachable, 216
23, 17/20, 52, 1/4, 2, 1, NONE, reachable, 388
18, 17/20, 11, 1/4, 2, 1, NONE, reachable, 222
23, 17/20, 11, 1/4, 2, 1, NONE, reachable, 225
24, 17/20, 20, 1/4, 2, 1, NONE, reachable, 383
22, 17/20, 11, 1/4, 2, 1, NONE, reachable, 222
24, 17/20, 11, 1/4, 2, 1, NONE, reachable, 224
99, 78/87, 3, 78/78, 1048576, 20, NONE, reachable, 815
96, 78/87, 70, 78/78, 1048576, 20, NONE, reachable, 809
91, 78/87, 2, 78/78, 1048576, 20, NONE, reachable, 916
78, 78/87, 38, 78/78, 1048576, 20, NONE, reachable, 745
185, 78/87, 3, 78/78, 1048576, 20, NONE, reachable, 795
89, 78/87, 32, 78/78, 1048576, 20, NONE, reachable, 629
81, 78/87, 2, 78/78, 1048576, 20, NONE, reachable, 712
104, 78/87, 2, 78/78, 1048576, 20, NONE, reachable, 744
84, 78/87, 3, 78/78, 1048576, 20, NONE, reachable, 780
79, 78/87, 3, 78/78, 1048576, 20, NONE, reachable, 493
86, 78/87, 2, 78/78, 1048576, 20, NONE, reachable, 694
87, 78/87, 2, 78/78, 1048576, 20, NONE, reachable, 710
87, 78/87, 38, 78/78, 1048576, 20, NONE, reachable, 735
166, 78/87, 40, 78/78, 1048576, 20, NONE, reachable, 717
84, 78/87, 39, 78/78, 1048576, 20, NONE, reachable, 624
93, 78/87, 2, 78/78, 1048576, 20, NONE, reachable, 730
101, 78/87, 3, 78/78, 1048576, 20, NONE, reachable, 729
90, 78/87, 3, 78/78, 1048576, 20, NONE, reachable, 740
145, 78/87, 3, 78/78, 1048576, 20, NONE, reachable, 714
75, 78/87, 3, 78/78, 1048576, 20, NONE, reachable, 583
95, 78/87, 2, 78/78, 1048576, 20, NONE, reachable, 612
102, 151/178, 33, 1/2, 2, 1, NONE, reachable, 526
2403, 15162/17686, 30, 7/43, 64, 6, NONE, reachable, 4338
14449, 151482/176796, 3, 3/36, 8, 3, NONE, reachable, 26931
58, 75/75, 2, 1/3, 2, 1, NONE, reachable, 345
67, 75/75, 2, 1/3, 2, 1, NONE, reachable, 428
22, 8/8, 1, 1/3, 2, 1, NONE, reachable, 281
